"id","kode","nama_akun","flag"
"1","522151","Belanja Jasa Profesi","1"
"2","524111","Belanja Perjalanan Dinas Biasa","1"
"3","521211","Belanja Bahan","1"
"4","521811","Belanja Barang Persediaan Barang Konsumsi","1"
"5","524114","Belanja Perjalanan Dinas Paket Meeting Dalam Kota","1"
"6","524113","Belanja Perjalanan Dinas Dalam Kota","1"
"7","522131","Belanja Jasa Konsultan","1"
"8","521213","Belanja Honor Output Kegiatan","1"
"9","521219","Belanja Barang Non Operasional Lainnya","1"
"10","522119","Belanja Langganan Daya dan Jasa Lainnya","1"
"11","522191","Belanja Jasa Lainnya","1"
"12","511111","Belanja Gaji Pokok PNS","1"
"13","511119","Belanja Pembulatan Gaji PNS","1"
"14","511121","Belanja Tunjangan Suami/Istri PPPK","1"
"15","511122","Belanja Tunjangan Anak PNS","1"
"16","511123","Belanja Tunjangan Struktural PNS","1"
"17","511124","Belanja Tunjangan Fungsional PNS","1"
"18","511125","Belanja Tunjangan PPh PNS","1"
"19","511126","Belanja Tunjangan Beras PNS","1"
"20","511129","Belanja Uang Makan PNS","1"
"21","511151","Belanja Tunjangan Umum PNS","1"
"22","511611","Belanja Gaji Pokok PPPK","1"
"23","511619","Belanja Pembulatan Gaji PPPK","1"
"24","511621","Belanja Tunjangan Suami/Istri PPPK","1"
"25","511622","Belanja Tunjangan Anak PPPK","1"
"26","511624","Belanja Tunjangan Fungsional PPPK","1"
"27","511625","Belanja Tunjangan Beras PPPK","1"
"28","511628","Belanja Uang Makan PPPK","1"
"29","512211","Belanja Uang Lembur","1"
"30","512212","Belanja Uang Lembur PPPK","1"
"31","512411","Belanja Pegawai (Tunjangan Khusus/Kegiatan/Kinerja)","1"
"32","512414","Belanja Pegawai Tunjangan Khusus/Kegiatan/Kinerja PPPK","1"
"33","521111","Belanja Keperluan Perkantoran","1"
"34","521115","Belanja Honor Operasional Satuan Kerja","1"
"35","521119","Belanja Barang Operasional Lainnya","1"
"36","522111","Belanja Langganan Listrik","1"
"37","522112","Belanja Langganan Telepon","1"
"38","522113","Belanja Langganan Air","1"
"39","523111","Belanja Pemeliharaan Gedung dan Bangunan","1"
"40","523121","Belanja Pemeliharaan Peralatan dan Mesin","1"
