"id","kode","kegiatan","flag"
"1","2896","Pengembangan dan Analisis Statistik","1"
"2","2897","Pelayanan dan Pengembangan Diseminasi Informasi Statistik","1"
"3","2898","Penyediaan dan Pengembangan Statistik Neraca Pengeluaran","1"
"4","2899","Penyediaan dan Pengembangan Statistik Neraca Produksi","1"
"5","2900","Pengembangan Metodologi Sensus dan Survei","1"
"6","2902","Penyediaan dan Pengembangan Statistik Distribusi","1"
"7","2903","Penyediaan dan Pengembangan Statistik Harga","1"
"8","2905","Penyediaan dan Pengembangan Statistik Kependudukan dan Ketenagakerjaan","1"
"9","2906","Penyediaan dan Pengembangan Statistik Kesejahteraan Rakyat","1"
"10","2907","Penyediaan dan Pengembangan Statistik Ketahanan Sosial","1"
"11","2908","Penyediaan dan Pengembangan Statistik Keuangan, Teknologi Informasi, dan Pariwisata","1"
"12","2909","Penyediaan dan Pengembangan Statistik Peternakan, Perikanan, dan Kehutanan","1"
"13","2910","Penyediaan dan Pengembangan Statistik Tanaman Pangan, Hortikultura, dan Perkebunan","1"
"14","2886","Dukungan Manajemen dan Pelaksanaan Tugas Teknis Lainnya BPS Provinsi","1"
