"id","id_kegiatan","id_kro","kode_ro","output","flag"
"1","1","2","004","PUBLIKASI/LAPORAN ANALISIS DAN PENGEMBANGAN STATISTIK","1"
"2","1","6","006","Pemanfaatan Big Data untuk Statistik Resmi","1"
"3","2","2","004","LAPORAN DISEMINASI DAN METADATA STATISTIK","1"
"4","2","2","006","LAYANAN EDUKASI DAN PROMOSI STATISTIK","1"
"5","2","7","003","PENGUATAN PENYELENGGARAAN PEMBINAAN STATISTIK SEKTORAL","1"
"6","3","2","007","PUBLIKASI/LAPORAN STATISTIK NERACA PENGELUARAN","1"
"7","4","2","006","PUBLIKASI/LAPORAN NERACA PRODUKSI","1"
"8","5","2","005","DOKUMEN/LAPORAN PENGEMBANGAN METODOLOGI KEGIATAN STATISTIK","1"
"9","15","8","004","Pengembangan Infrastruktur dan Layanan Teknologi Informasi dan Komunikasi","1"
"10","6","2","004","PUBLIKASI/LAPORAN STATISTIK DISTRIBUSI","1"
"11","6","2","006","PUBLIKASI/LAPORAN SENSUS EKONOMI","1"
"12","7","2","009","PUBLIKASI/LAPORAN STATISTIK HARGA","1"
"13","7","6","006","PUBLIKASI/LAPORAN PENYUSUNAN INFLASI","1"
"14","16","2","006","PUBLIKASI/LAPORAN STATISTIK INDUSTRI PERTAMBANGAN DAN PENGGALIAN ENERGI DAN KONSTRUKSI","1"
"15","8","2","004","PUBLIKASI/LAPORAN SAKERNAS","1"
"16","8","2","005","PUBLIKASI/LAPORAN STATISTIK KEPENDUDUKAN DAN KETENAGAKERJAAN","1"
"17","9","2","003","PUBLIKASI/LAPORAN STATISTIK KESEJAHTERAAN RAKYAT","1"
"18","9","2","006","PUBLIKASI/LAPORAN SUSENAS","1"
"19","10","2","006","PUBLIKASI/LAPORAN STATISTIK KETAHANAN SOSIAL","1"
"20","10","2","008","PUBLIKASI/LAPORAN PENDATAAN PODES","1"
"21","11","2","004","PUBLIKASI/LAPORAN STATISTIK KEUANGAN TEKNOLOGI INFORMASI DAN PARIWISATA","1"
"22","11","2","009","PUBLIKASI/LAPORAN STATISTIK E-COMMERCE","1"
"23","12","2","005","PUBLIKASI/LAPORAN STATISTIK PETERNAKAN PERIKANAN DAN KEHUTANAN ","1"
"24","13","2","007","PUBLIKASI/ LAPORAN STATISTIK TANAMAN PANGAN","1"
"25","14","3","958","Layanan Hubungan Masyarakat dan Informasi","1"
"26","14","3","962","Layanan Umum","1"
"27","14","3","994","Layanan Perkantoran","1"
"28","14","4","954","Layanan Manajemen SDM","1"
"29","14","5","953","Layanan Pemantauan dan Evaluasi","1"
"30","14","5","955","Layanan Manajemen Keuangan","1"
"31","14","5","961","Layanan Reformasi Kinerja","1"
